asset_id,source,owner_license_status,allowed_in_production,notes,owner,license_identifier,distribution_proof_file,distribution_proof_sha256,source_sha256,scope,release_status,reviewed_at,verification_task
ui_icon_crystal_snowflake__330x336,analysis/figma/raw/images/01a23149e09e72fa8ac700f6e0a62ad010a041f9,USER_PROVIDED_RIGHTS_UNVERIFIED,NO,"No ownership/license grant located in supplied source or project documents; supplied Figma is provenance, not distribution proof. Release exclusion retained until evidence review.",UNKNOWN,UNKNOWN,,,7d440b12e9b5a2d1a074f54883ff124d5adbde1ba8ab07c2256c2409a8fe4f68,USED_IN_MVP,EXCLUDED_RIGHTS_UNVERIFIED,2026-09-08,TASK-0028
ui_frame_magic_gold__323x441,analysis/figma/raw/images/02730f95ce54e51cd6c92682fae4c880e893f520,USER_PROVIDED_RIGHTS_UNVERIFIED,NO,"No ownership/license grant located in supplied source or project documents; supplied Figma is provenance, not distribution proof. Release exclusion retained until evidence review.",UNKNOWN,UNKNOWN,,,8bec1ea9c31e1b76bb2ad0857e02a5e9a0d5361a38c2c003e06154ecd742e28b,USED_IN_MVP,EXCLUDED_RIGHTS_UNVERIFIED,2026-09-08,TASK-0028
currency_gem_blue__300x252,analysis/figma/raw/images/027fb1a160a836ad27c008214bdd44046699c6b3,USER_PROVIDED_RIGHTS_UNVERIFIED,NO,"No ownership/license grant located in supplied source or project documents; supplied Figma is provenance, not distribution proof. Release exclusion retained until evidence review.",UNKNOWN,UNKNOWN,,,98f748832c288eca96aa9b561cf92c4514f4764cf7ddc08ec03cdcf886d79fd9,USED_IN_MVP,EXCLUDED_RIGHTS_UNVERIFIED,2026-09-08,TASK-0028
equipment_fox_sorcerer_staff__462x747,analysis/figma/raw/images/02a4dde377213241fff0dc579b2094999cc76847,USER_PROVIDED_RIGHTS_UNVERIFIED,NO,"No ownership/license grant located in supplied source or project documents; supplied Figma is provenance, not distribution proof. Release exclusion retained until evidence review.",UNKNOWN,UNKNOWN,,,79721ca5ecb40c17dd507586c745450d238c1232b7bd035367575b0224605552,USED_IN_MVP,EXCLUDED_RIGHTS_UNVERIFIED,2026-09-08,TASK-0028
relic_compass_gold__538x602,analysis/figma/raw/images/02cacfc26701953eb11a6dfc5b4e46ff4b8f6d75,USER_PROVIDED_RIGHTS_UNVERIFIED,NO,"No ownership/license grant located in supplied source or project documents; supplied Figma is provenance, not distribution proof. Release exclusion retained until evidence review.",UNKNOWN,UNKNOWN,,,83addef0f4fb65cfceff32bab38c40c1dd758fe4b2d8f0dcc35329487cbb008f,USED_POST_MVP,EXCLUDED_RIGHTS_UNVERIFIED,2026-09-08,TASK-0028
ui_icon_crown__353x325,analysis/figma/raw/images/0340666bee1059d8aef76d0dc38c26ba9429cc3d,USER_PROVIDED_RIGHTS_UNVERIFIED,NO,"No ownership/license grant located in supplied source or project documents; supplied Figma is provenance, not distribution proof. Release exclusion retained until evidence review.",UNKNOWN,UNKNOWN,,,f4e10b4aae9f5b7ed63d5ca974a86cfbaf9ad917a911e659e94612df76dab518,USED_IN_MVP,EXCLUDED_RIGHTS_UNVERIFIED,2026-09-08,TASK-0028
equipment_elf_archer_hood__311x328,analysis/figma/raw/images/034be57911f70df8a8504a42e69cb4eb200d2b7a,USER_PROVIDED_RIGHTS_UNVERIFIED,NO,"No ownership/license grant located in supplied source or project documents; supplied Figma is provenance, not distribution proof. Release exclusion retained until evidence review.",UNKNOWN,UNKNOWN,,,9120a2e104e6dd85579d3234caafd75a786d77dc113db298805f35627e2aac98,USED_IN_MVP,EXCLUDED_RIGHTS_UNVERIFIED,2026-09-08,TASK-0028
relic_infernal_mask__1628x1757,analysis/figma/raw/images/0431d4a4bcacc5183a9b0f2d3c635e4eb47856b9,USER_PROVIDED_RIGHTS_UNVERIFIED,NO,"No ownership/license grant located in supplied source or project documents; supplied Figma is provenance, not distribution proof. Release exclusion retained until evidence review.",UNKNOWN,UNKNOWN,,,562460c20896f47952619b5aa3afe1d0135d3b177e9cb0b9e0b58fa28ea08e93,USED_POST_MVP,EXCLUDED_RIGHTS_UNVERIFIED,2026-09-08,TASK-0028
hero_ice_fairy__430x435,analysis/figma/raw/images/05534612ec3043db12c74f036585a065bb002b07,USER_PROVIDED_RIGHTS_UNVERIFIED,NO,"No ownership/license grant located in supplied source or project documents; supplied Figma is provenance, not distribution proof. Release exclusion retained until evidence review.",UNKNOWN,UNKNOWN,,,537e1126739256391509a32336c907a37a22e91cd73f4e97e8402b55f38cf6d3,USED_IN_MVP,EXCLUDED_RIGHTS_UNVERIFIED,2026-09-08,TASK-0028
enemy_poison_mushroom__1596x1576,analysis/figma/raw/images/05a04461351d086a16a2c9b63bc7c05772867132,USER_PROVIDED_RIGHTS_UNVERIFIED,NO,"No ownership/license grant located in supplied source or project documents; supplied Figma is provenance, not distribution proof. Release exclusion retained until evidence review.",UNKNOWN,UNKNOWN,,,41aa0e1ac6e0eb6205846f41196a20372274580c3b45ffe5733bdbf86ee0a0b7,USED_IN_MVP,EXCLUDED_RIGHTS_UNVERIFIED,2026-09-08,TASK-0028
