# Critical path

Computed from the explicit task DAG using relative complexity weights XS1/S2/M3/L5. This is a dependency/effort model, not elapsed hours or a staffing forecast. Evidence collection with long waiting periods and unavailable devices can dominate calendar time independently of points.

Endpoint TASK-0237 production release gate; weighted path 279 points.

| Order | Task | Deliverable | Weight |
| --- | --- | --- | --- |
| 1 | TASK-0001 | Planning handoff validation | 2 |
| 2 | TASK-0002 | Implementation workspace baseline | 2 |
| 3 | TASK-0003 | Host decision | 2 |
| 4 | TASK-0037 | Native toolchain lock | 3 |
| 5 | TASK-0038 | Standalone Cocos export probe | 3 |
| 6 | TASK-0040 | Android full-screen host probe | 5 |
| 7 | TASK-0042 | Bridge ping probe | 3 |
| 8 | TASK-0043 | Native lifecycle probe | 3 |
| 9 | TASK-0045 | Native memory probe | 3 |
| 10 | TASK-0046 | Native integration acceptance | 3 |
| 11 | TASK-0047 | Workspace package foundation | 3 |
| 12 | TASK-0048 | Core TypeScript boundary | 3 |
| 13 | TASK-0052 | Runtime ports and test fakes | 3 |
| 14 | TASK-0070 | Amount value type | 3 |
| 15 | TASK-0071 | Normalized game state | 3 |
| 16 | TASK-0072 | Command dispatcher | 3 |
| 17 | TASK-0073 | Durable transaction coordinator | 5 |
| 18 | TASK-0074 | Reward receipt service | 3 |
| 19 | TASK-0079 | State invariant tests | 3 |
| 20 | TASK-0081 | Hero definition and instance model | 2 |
| 21 | TASK-0082 | Board slot model | 2 |
| 22 | TASK-0083 | Purchase quote selector | 2 |
| 23 | TASK-0084 | Purchase hero transaction | 3 |
| 24 | TASK-0085 | Purchase hold controller | 3 |
| 25 | TASK-0086 | Manual merge compatibility | 3 |
| 26 | TASK-0087 | Manual merge transaction | 3 |
| 27 | TASK-0088 | Timed auto-merge entitlement | 3 |
| 28 | TASK-0089 | Auto-merge pair selector | 2 |
| 29 | TASK-0090 | Auto-merge cascade reducer | 3 |
| 30 | TASK-0091 | Discovery reward command | 3 |
| 31 | TASK-0092 | Deployment command | 3 |
| 32 | TASK-0095 | Combat entity model | 2 |
| 33 | TASK-0096 | Encounter spawn service | 3 |
| 34 | TASK-0097 | Target selector | 2 |
| 35 | TASK-0098 | Attack cooldown system | 3 |
| 36 | TASK-0099 | Hit intent queue | 3 |
| 37 | TASK-0100 | Damage resolver | 3 |
| 38 | TASK-0101 | Death reducer | 3 |
| 39 | TASK-0102 | Battle tick pipeline | 3 |
| 40 | TASK-0103 | Hero combat presenter | 3 |
| 41 | TASK-0104 | Enemy presenter | 3 |
| 42 | TASK-0105 | Projectile presenter | 3 |
| 43 | TASK-0106 | Damage label presenter | 3 |
| 44 | TASK-0107 | Combat reward adapter | 3 |
| 45 | TASK-0108 | Mode attack and recovery policy | 3 |
| 46 | TASK-0109 | Combat deterministic fixtures | 3 |
| 47 | TASK-0110 | Combat visual acceptance | 3 |
| 48 | TASK-0159 | Animation director | 3 |
| 49 | TASK-0160 | Presentation pool manager | 3 |
| 50 | TASK-0161 | Hero idle spawn profiles | 3 |
| 51 | TASK-0162 | Hero attack hit profiles | 3 |
| 52 | TASK-0163 | Enemy boss profiles | 3 |
| 53 | TASK-0164 | Merge convergence profile | 3 |
| 54 | TASK-0165 | Merge cascade escalation | 3 |
| 55 | TASK-0166 | Projectile art task | 3 |
| 56 | TASK-0167 | Effect primitive task | 3 |
| 57 | TASK-0168 | Damage number motion | 3 |
| 58 | TASK-0169 | Currency reward flyers | 3 |
| 59 | TASK-0170 | UI button counter motion | 3 |
| 60 | TASK-0171 | Popup route transitions | 3 |
| 61 | TASK-0172 | Wheel motion profile | 3 |
| 62 | TASK-0173 | Daily chest upgrade feedback | 3 |
| 63 | TASK-0174 | Background motion fallback | 3 |
| 64 | TASK-0175 | Haptic event adapter | 3 |
| 65 | TASK-0176 | Motion freeze and interruption QA | 3 |
| 66 | TASK-0195 | Animation audio config table | 3 |
| 67 | TASK-0196 | Content cross-reference validator | 3 |
| 68 | TASK-0197 | Balance simulation report | 3 |
| 69 | TASK-0198 | Number formatter localization | 3 |
| 70 | TASK-0199 | Localization string catalogue | 2 |
| 71 | TASK-0200 | Content fidelity acceptance | 3 |
| 72 | TASK-0213 | Performance baseline capture | 2 |
| 73 | TASK-0214 | Texture residency optimization | 3 |
| 74 | TASK-0215 | Pool allocation optimization | 3 |
| 75 | TASK-0216 | Draw-call batching optimization | 3 |
| 76 | TASK-0217 | Low-quality preset | 3 |
| 77 | TASK-0218 | Save throughput optimization | 3 |
| 78 | TASK-0219 | Native memory leak closure | 5 |
| 79 | TASK-0220 | Performance budget acceptance | 3 |
| 80 | TASK-0221 | Core unit matrix execution | 3 |
| 81 | TASK-0222 | Integration matrix execution | 3 |
| 82 | TASK-0223 | Gameplay golden path execution | 3 |
| 83 | TASK-0224 | Visual regression execution | 3 |
| 84 | TASK-0225 | Device matrix execution | 3 |
| 85 | TASK-0226 | Save migration release QA | 3 |
| 86 | TASK-0227 | Accessibility localization QA | 3 |
| 87 | TASK-0228 | Audio haptic release QA | 3 |
| 88 | TASK-0229 | Regression defect closure | 3 |
| 89 | TASK-0230 | Beta gate acceptance | 3 |
| 90 | TASK-0231 | Release readiness | 2 |
| 91 | TASK-0232 | Current platform requirements review | 3 |
| 92 | TASK-0234 | Release build provenance | 3 |
| 93 | TASK-0235 | Store metadata package | 3 |
| 94 | TASK-0236 | Rollback and recovery drill | 3 |
| 95 | TASK-0237 | Production release gate | 3 |

## Dominant risks and acceleration

Native feasibility, exact purchase/merge/combat/boss/offline evidence, durable save semantics, source rights/fonts/audio and device performance are explicit gates. Start captures and acquisition alongside native spike. Parallel Android/iOS probes and independent static panels reduce calendar wait after shared contracts, but cannot bypass acceptance.

Recompute this path whenever dependencies or scope change. Do not declare a task complete to shorten the graph. The source-to-release chain includes configuration/state→transaction→gameplay→save/meta/content→native production→performance→QA→release. Exact weighted chain above reflects the current conservative task dependencies.

[Machine-readable analysis](../analysis/reports/task_dependency_analysis.json) · [Execution order](00_EXECUTION_ORDER.md) · [Task index](../tasks/TASK_INDEX.md).
